workerid,movieID,reactionTime,PArray,AArray,trialNum,expt
615,7,369,0,0,16,6:Attn19s
611,7,434,0,0,16,6:Attn19s
568,3,441,1,0,16,6:Attn19s
599,7,526,0,0,16,6:Attn19s
571,5,573,0,1,16,6:Attn19s
603,5,559,0,1,16,6:Attn19s
618,3,673,1,0,16,6:Attn19s
635,1,538,1,1,16,6:Attn19s
608,1,743,1,1,16,6:Attn19s
632,7,757,0,0,16,6:Attn19s
627,3,380,1,0,16,6:Attn19s
621,7,427,0,0,16,6:Attn19s
638,1,446,1,1,16,6:Attn19s
2,3,440,1,0,16,6:Attn19s
410,7,582,0,0,16,6:Attn19s
598,1,503,1,1,16,6:Attn19s
600,1,760,1,1,16,6:Attn19s
592,5,426,0,1,16,6:Attn19s
619,3,726,1,0,16,6:Attn19s
629,7,814,0,0,17,6:Attn19s
637,7,1055,0,0,17,6:Attn19s
590,3,694,1,0,17,6:Attn19s
593,5,504,0,1,17,6:Attn19s
604,3,744,1,0,17,6:Attn19s
622,5,572,0,1,17,6:Attn19s
582,5,614,0,1,17,6:Attn19s
263,3,341,1,0,17,6:Attn19s
580,7,698,0,0,17,6:Attn19s
567,5,613,0,1,17,6:Attn19s
148,3,518,1,0,17,6:Attn19s
609,7,432,0,0,17,6:Attn19s
628,7,485,0,0,17,6:Attn19s
575,5,552,0,1,17,6:Attn19s
221,3,446,1,0,17,6:Attn19s
612,7,587,0,0,17,6:Attn19s
588,7,519,0,0,17,6:Attn19s
577,7,583,0,0,17,6:Attn19s
569,7,702,0,0,17,6:Attn19s
572,7,464,0,0,17,6:Attn19s
611,7,696,0,0,17,6:Attn19s
568,5,441,0,1,17,6:Attn19s
596,3,519,1,0,17,6:Attn19s
607,5,694,0,1,17,6:Attn19s
571,1,472,1,1,17,6:Attn19s
597,3,463,1,0,17,6:Attn19s
603,7,482,0,0,17,6:Attn19s
618,1,442,1,1,17,6:Attn19s
616,7,534,0,0,17,6:Attn19s
633,3,335,1,0,17,6:Attn19s
614,3,351,1,0,17,6:Attn19s
617,3,600,1,0,17,6:Attn19s
621,3,431,1,0,17,6:Attn19s
638,3,579,1,0,17,6:Attn19s
584,3,489,1,0,17,6:Attn19s
634,1,591,1,1,17,6:Attn19s
592,1,474,1,1,17,6:Attn19s
595,5,402,0,1,17,6:Attn19s
574,3,605,1,0,17,6:Attn19s
619,1,783,1,1,17,6:Attn19s
629,7,591,0,0,18,6:Attn19s
20,5,547,0,1,18,6:Attn19s
585,7,734,0,0,18,6:Attn19s
578,3,723,1,0,18,6:Attn19s
610,5,556,0,1,18,6:Attn19s
582,3,504,1,0,18,6:Attn19s
263,5,405,0,1,18,6:Attn19s
623,5,955,0,1,18,6:Attn19s
602,3,503,1,0,18,6:Attn19s
273,7,375,0,0,18,6:Attn19s
609,3,712,1,0,18,6:Attn19s
628,1,523,1,1,18,6:Attn19s
221,3,440,1,0,18,6:Attn19s
601,3,520,1,0,18,6:Attn19s
577,1,464,1,1,18,6:Attn19s
573,5,484,0,1,18,6:Attn19s
611,3,412,1,0,18,6:Attn19s
570,7,402,0,0,18,6:Attn19s
596,1,473,1,1,18,6:Attn19s
607,7,450,0,0,18,6:Attn19s
591,7,511,0,0,18,6:Attn19s
